joke,score
"A group of girlfriends is on vacation when they see a 5-story hotel with a sign that reads: ""For Women Only."" Since they are without their boyfriends and husbands, they decide to go in. The bouncer, a very attractive guy, explains to them how it works. ""We have 5 floors. Go up floor by floor, and once you find what you are looking for, you can stay there. It's easy to decide since each floor has a sign telling you what's inside."" So they start going up and on the first floor the sign reads: ""All the men on this floor are short and plain."" The friends laugh and without hesitation move on to the next floor. The sign on the second floor reads: ""All the men here are short and handsome."" Still, this isn't good enough, so the friends continue on up. They reach the third floor and the sign reads: ""All the men here are tall and plain."" They still want to do better, and so, knowing there are still two floors left, they continued on up. On the fourth floor, the sign is perfect: ""All the men here are tall and handsome."" The women get all excited and are going in when they realize that there is still one floor left. Wondering what they are missing, they head on up to the fifth floor. There they find a sign that reads: ""There are no men here. This floor was built only to prove that there is no way to please a woman.""",7.875
"Out in the backwoods of some midwestern state, little Johnny arrives
at school an hour late.

Teacher: ""Why are you so late, John?""
Johny : ""My big brother got shot in the ass.""
(the teacher corrects his speech)
Teacher: ""Rectum.""
Johnny : ""Wrecked him!? Hell, It damn near killed him!"" 
",-0.562
"A man arrives at the gates of heaven. St. Peter asks, ""Religion?"" 
The man says, ""Methodist."" St. Peter looks down his list, and says, 
""Go to room 24, but be very quiet as you pass room 8."" 

Another man arrives at the gates of heaven. ""Religion?""
""Baptist."" ""Go to room 18, but be very quiet as you pass room 8."" 

A third man arrives at the gates. ""Religion?"" ""Jewish.""
""Go to room 11, but be very quiet as you pass room 8."" 
The man says, ""I can understand there being different rooms for different religions, but why
must I be quiet when I pass room 8?"" St. Peter tells him, ""Well the Catholics are in room 8, 
and they think they're the only ones here.
",4.812
"Q:  What did the blind person say when given some matzah?

A:  Who the hell wrote this?
",-6.688
"Q: How many Presidents does it take to screw in a light bulb?

A: It depends upon your definition of screwing a light bulb.
",1.75
"When most people claim to be ""killing time"", it's only an expression. When Chuck Norris kills time, the minutes actually cease to exist.",8.687999999999999
"Q. What is orange and sounds like a parrot?  

A. A carrot.
",-9.75
"How many men does it take to screw in a light bulb? 

One...men will screw anything. 
",0.469
"A man arrives at the gates of heaven. St. Peter asks, ""Religion?"" 
The man says, ""Methodist."" St. Peter looks down his list, and says, 
""Go to room 24, but be very quiet as you pass room 8."" 

Another man arrives at the gates of heaven. ""Religion?""
""Baptist."" ""Go to room 18, but be very quiet as you pass room 8."" 

A third man arrives at the gates. ""Religion?"" ""Jewish.""
""Go to room 11, but be very quiet as you pass room 8."" 
The man says, ""I can understand there being different rooms for different religions, but why
must I be quiet when I pass room 8?"" St. Peter tells him, ""Well the Catholics are in room 8, 
and they think they're the only ones here.
",0.344
"How many feminists does it take to screw in a light bulb?
That's not funny.
",-6.25
"A Panda bear walks into a bar.  Sits down at a table and orders a beer 
and a double cheeseburger.  After he is finished eating, he pulls out a gun
and rips the place with gunfire.  Patrons scatter and dive under chairs and
tables as the bear runs out the door.  After ensuring that no one is hurt, 
the bartender races out the door, and calls after the bear ""What the hell did
you do that for?""  The bear calls back, ""I'm a Panda bear.  Look it up in the
dictionary.""  

The bartender returns, pulls out his dictionary.

panda : \Pan""da\, n. (Zo[""o]l.)
A small Asiatic mammal (Ailurus fulgens) having fine soft fur.
It is related to the bears, and inhabits the mountains of Northern India.
Eats shoots and leaves.
",-4.375
"An astronomer, a physicist and a mathematician (it is said) were holidaying in Scotland. Glancing from a train window, they observed a black sheep in the middle of a field. ""How interesting,"" observed the astronomer, ""All Scottish sheep are black!"" To which the physicist responded, ""No, no! Some Scottish sheep are black!"" The mathematician gazed heavenward in supplication, and then intoned, ""In Scotland there exists at least one field, containing at least one sheep, at least one side of which is black.""",4.281000000000001
"Q. What is orange and sounds like a parrot?  

A. A carrot.
",-9.25
"A man went to apply for a job. After filling out all of his applications, he waited anxiously for the outcome. The employer read all his applications and said, ""We have an opening for people like you."" ""Oh, great,"" he said. ""What is it?"" ""It's called the door!""",-2.125
"A couple has been married for 75 years. For the husband's 95th
birthday, his wife decides to surprise him by hiring a prostitute.
That day, the doorbell rings. The husband uses his walker to get to
the door and opens it. 
A 21-year-old in a latex outfit smiles and
says, ""Hi, I here to give you super sex!"" 
The old man says, ""I'll take the soup.""
",9.719
"How many Irishmen does it take to change a lightbulb?

Two, one to hold the lightbulb and the other to drink until the room spins. 
",0.469
"One day, a professor was giving a big test to his students. He handed out the tests and went back to his desk to wait. Once the test was over, the students all handed the tests back in. The professor noticed that one of the students had attached a $100 bill to his test with a note saying: ""A dollar per point."" The next class the professor handed the tests back out. This student got back his test...and $64 change!",-3.156
Chuck Norris' calendar goes straight from March 31st to April 2nd; no one fools Chuck Norris.,-0.7190000000000001
"Q:  What did the blind person say when given some matzah?

A:  Who the hell wrote this?
",9.312000000000001
"Judy was having trouble with her computer, so she called Tony, the computer guy, over to her desk. Tony clicked a couple buttons and solved the problem. As he was walking away, Judy called after him, ""So, what was wrong?"" And he replied, ""It was an ID Ten T Error."" A puzzled expression ran riot over Judy's face. ""An ID Ten T Error? What's that...in case I need to fix it again?"" He gave her a grin...""Haven't you ever heard of an ID Ten T Error before?"" ""No,"" replied Judy. ""Write it down,"" he said, ""and I think you'll figure it out."" (She wrote...) I D 1 0 T",2.312
Did you hear about the Buddhist who refused Novocaine during a root canal? He wanted to transcend dental medication.,7.688
"There was an engineer who had an exceptional gift for fixing all 
things mechanical.  After serving his company loyally for over 30 
years, he happily retired.  Several years later the company contacted 
him regarding a seemingly impossible problem they were having with 
one of their multi-million dollar machines. They had tried everything and 
everyone else to get the machine fixed, but to no avail.  In 
desperation, they called on the retired engineer who had solved so 
many of their problems in the past.
The engineer reluctantly took the challenge.  He spent a day studying 
the huge machine.  At the end of the day, he marked a small ""x"" in 
chalk on a particular component of the machine and proudly stated, 
""This is where your problem is"".
The part was replaced and the machine worked perfectly again. The 
company received a bill for $50,000 from the engineer for his 
service.They demanded an itemized accounting of his charges. The 
engineer responded briefly:
One chalk mark                       $1 
Knowing where to put it            $49,999
It was paid in full and the engineer retired again in peace. 
",1.094
"Two attorneys went into a diner and ordered two drinks.  Then they produced 
sandwiches from their briefcases and started to eat.  The owner became
quite concerned and marched over and told them, ""You can't eat your own
sandwiches in here!""

The attorneys looked at each other, shrugged their shoulders and then
exchanged sandwiches.
",5.593999999999999
"They asked the Japanese visitor if they have elections in his
country.  
""Every Morning"" he answers.
",-8.375
"A blonde, brunette, and a red head are all lined up to be shot to death by a firing squad. The brunette shouts, ""Tornado!"" and the riflemen turn around to see the tornado. It isn't there, and the brunette uses that time to escape. The red head yells, ""Lightning!"" and the riflemen again turn to see the disaster, yet there is no disaster and the red head escapes. The blonde yells, ""Fire!"" The riflemen do.",3.344
"Q: If a person who speaks three languages is called ""tri-lingual,"" and
a person who speaks two languages is called ""bi-lingual,"" what do call
a person who only speaks one language?

A: American! 
",1.156
"Q. Did you hear about the dyslexic devil worshiper? 

A. He sold his soul to Santa.
",2.625
"A dog walks into Western Union and asks the clerk to send a telegram. He fills out a form on which he
writes down the telegram he wishes to send: ""Bow wow wow, Bow wow wow.""

The clerk says, ""You can add another 'Bow wow' for the same price.""

The dog responded, ""Now wouldn't that sound a little silly?"" 
",6.5
"The new employee stood before the paper shredder looking confused. ""Need some help?"" a secretary asked. ""Yes,"" he replied. ""How does this thing work?"" ""Simple,"" she said, taking the fat report from his hand and feeding it into the shredder. ""Thanks, but where do the copies come out?""",-2.938
"The graduate with a Science degree asks, ""Why does it work?""
The graduate with an Engineering degree asks, ""How does it work?""
The graduate with an Accounting degree Asks, ""How much will it cost?"" 
The graduate with a  Liberal Arts degree asks, ""Do you want fries 
with  that?""
",8.125
"An artist asked the gallery owner if there had been any interest in his paintings currently on display. ""I've got good news and bad news,"" the owner replied. ""The good news is that a gentleman inquired about your work and wondered if it would appreciate in value after your death. When I told him it would, he bought all fifteen of your paintings."" ""That's wonderful!"" the artist exclaimed. ""What's the bad news?"" With concern, the gallery owner replied:""The guy was your doctor.""",6.968999999999999
Did you hear about the Buddhist who refused Novocaine during a root canal? He wanted to transcend dental medication.,-9.844
"A man goes into a drug store and asks the pharmacist if he can give him something for the hiccups. The pharmacist promptly reaches out and slaps the man's face. ""What the heck did you do that for?!"" the man screams. ""Well, you don't have the hiccups anymore, do you?"" The man says, ""No I don't, you IDIOT...but my wife out in the car still does!""",7.5
"A blonde, brunette, and a red head are all lined up to be shot to death by a firing squad. The brunette shouts, ""Tornado!"" and the riflemen turn around to see the tornado. It isn't there, and the brunette uses that time to escape. The red head yells, ""Lightning!"" and the riflemen again turn to see the disaster, yet there is no disaster and the red head escapes. The blonde yells, ""Fire!"" The riflemen do.",-1.281
"A new business was opening and one of the owner's friends wanted to send him flowers for the occasion. They arrived at the new business site and the owner read the card, ""Rest in Peace."" The owner was angry and called the florist to complain. After he had told the florist of the obvious mistake and how angry he was, the florist replied, ""Sir, I'm really sorry for the mistake, but rather than getting angry, you should imagine this: somewhere there is a funeral taking place today, and they have flowers with a note saying, 'Congratulations on your new location!'""",1.469
"Once upon a time, two brooms fell in love and decided to get married.
Before the ceremony, the bride broom informed the groom broom that 
she was expecting a little whiskbroom. The groom broom was aghast!

""How is this possible?"" he asked. ""We've never swept together!
",-5.656000000000001
"Q: How many Presidents does it take to screw in a light bulb?

A: It depends upon your definition of screwing a light bulb.
",-1.5619999999999998
"How many feminists does it take to screw in a light bulb?
That's not funny.
",-9.937999999999999
"Q:  What did the blind person say when given some matzah?

A:  Who the hell wrote this?
",-2.5
